,firm,area,km,cost,year of prudaction,tracks,commercial,private
580,43,23,13500,120000,2019,0,0,0
581,206,23,188600,60000,2011,0,0,0
582,121,3,13895,142700,2021,0,0,0
583,210,20,99600,98000,2018,0,0,0
584,121,29,75162,75000,2015,0,0,0
586,78,31,62000,82000,2016,0,0,0
587,121,9,16000,129000,2019,0,0,0
588,206,3,82000,140000,2018,0,0,0
589,160,8,17000,190000,2021,0,0,0
590,81,26,25000,107000,2019,0,0,0
591,99,3,88000,133500,2017,0,0,0
592,114,3,117000,123000,2018,0,0,0
594,93,4,99000,115000,2017,0,0,0
597,160,26,10000,185000,2021,0,0,0
598,129,10,207000,60000,2011,0,0,0
599,104,2,286000,42500,2002,0,0,0
608,20,14,2850,105000,2016,1,0,0
609,162,32,150000,100000,2001,1,0,0
611,221,24,193000,105000,2018,1,0,0
613,24,19,350000,90000,2008,1,0,0
614,14,15,145000,1000,2010,1,0,0
615,224,11,400000,30000,2007,1,0,0
616,218,19,394000,160000,2015,1,0,0
621,34,19,300000,70000,2010,1,0,0
622,14,15,145000,1000,2010,1,0,0
623,179,31,7400,52985,2021,1,0,0
624,217,30,320000,115000,2015,1,0,0
625,19,24,5600,28000,2020,1,0,0
626,24,19,350000,90000,2008,1,0,0
627,25,6,24000,30000,2018,1,0,0
628,36,4,8000,19000,2001,1,0,0
632,49,3,250000,60000,2011,1,0,0
633,19,15,30000,16000,2020,1,0,0
635,19,7,5000,21500,2020,1,0,0
636,239,34,130000,125000,2018,1,0,0
637,25,15,13500,43000,2020,1,0,0
639,97,7,210000,140000,2015,1,0,0
640,23,28,140000,8000,1990,1,0,0
641,101,18,253000,60000,2009,1,0,0
642,19,11,25000,25000,2020,1,0,0
643,19,34,16700,15990,2019,1,0,0
644,19,5,13000,19000,2018,1,0,0
645,18,7,15000,29000,2020,1,0,0
646,55,26,260000,65000,2013,1,0,0
647,19,24,4600,35000,2021,1,0,0
648,18,7,12000,27000,2020,1,0,0
649,36,4,8000,19000,2001,1,0,0
650,179,31,7400,52985,2021,1,0,0
651,19,15,18500,10000,2020,1,0,0
652,25,4,113000,18000,2014,1,0,0
653,19,7,7000,30000,2021,1,0,0
655,105,8,360000,20000,2000,1,0,0
656,179,3,9000,25000,2016,1,0,0
657,19,22,19000,28000,2021,1,0,0
658,95,0,8607,41000,2018,1,0,0
659,36,28,15000,15000,2006,1,0,0
667,35,3,313000,50000,2001,1,0,0
668,94,13,240000,1000,2014,1,0,0
672,113,3,240000,170000,2017,1,0,0
673,219,19,85000,80000,2018,1,0,0
678,17,3,200000,65000,2015,1,0,0
684,113,3,240000,170000,2017,1,0,0
685,101,28,340000,60000,2009,1,0,0
690,219,19,85000,80000,2018,1,0,0
692,25,21,4545,39000,2018,1,0,0
696,35,3,313000,50000,2001,1,0,0
